Station Number,State,Temp Min,Temp Max,DO Min,DO Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Faecal Coliform Min,Faecal Coliform Max,Total Coliform Min,Total Coliform Max
1867,"HIMACHAL
 PRADESH",9,12,9.7,10.1,6.8,8,92,366,0.1,0.2,0.2,0.2,2,2,20,20
2611,"HIMACHAL
 PRADESH",9,12,9.7,10.1,6.7,7.9,84,327,0.1,0.5,0.2,0.5,2,2,20,20
1389,"HIMACHAL
 PRADESH",12,17,9.1,9.6,6.8,8.1,92,330,0.1,0.5,0.2,0.4,2,2,20,20
1086,"HIMACHAL
 PRADESH",14,17,8.8,9.8,6.96,7.99,107,309,0.1,0.4,0.2,0.34,2,2,21,21
1087,"HIMACHAL
 PRADESH",14,17,8.7,9.2,6.91,8.04,102,298,0.1,0.2,0.2,0.513,2,2,25,25
1013,"HIMACHAL
 PRADESH",15,19,8.6,8.9,6.88,7.91,106,311,0.1,2,0.2,0.365,2,2,25,25
1014,"HIMACHAL
 PRADESH",10,24,8,9.7,7.56,8.11,134,329,0.1,0.1,0.2,0.862,13,23,110,180
1015,"HIMACHAL
 PRADESH",10,20,6.7,9.8,7.75,8.16,123,310,0.1,0.2,0.2,0.931,21,43,130,350
1016,"HIMACHAL
 PRADESH",5,20,6.5,7.8,6.95,8.47,232,340,0.1,1.2,0.02,0.54,6,21,210,430
1293,PUNJAB,15,27,7,7.8,7.2,8,258,372,2,2,0.4,1,200,830,610,1500
1018,PUNJAB,16,26,7.5,7.9,7.66,8.2,244,314,1,1,0.4,0.8,170,400,310,610
1690,PUNJAB,17,34,5.6,7.5,7.2,7.7,362,565,1,2,0.6,1,400,1700,930,3800
1020,PUNJAB,16,35,2,5.1,7.17,7.59,732,1733,30,108,1.6,14,17000,210000,31000,380000
1021,PUNJAB,16,32,3.4,6.5,7.25,8.2,385,1180,5,37,1,3,13000,63000,27000,110000
1381,PUNJAB,12,29,1,3.2,7,7.4,390,710,8,22,1.2,2.2,350,2300,940,4600
1691,PUNJAB,16,30,7,8,7.4,8.2,238,396,0.2,2,0.4,0.8,370,920,610,2200
1692,PUNJAB,16,31,6.9,7.8,7.3,8,260,420,0.3,2,0.6,1,400,1100,680,2200
1022,PUNJAB,11,30,4,6.4,6.9,7.3,260,413,2,4.1,1,2.8,210,940,580,1700
2915,PUNJAB,17,30,7.4,7.8,7.7,8.4,258,415,0.5,1,0.6,1.4,170,680,390,910
3869,PUNJAB,14,17,8.7,9.1,7.3,8.1,96,309,0.1,0.5,0.3,0.5,0,0,0,0
3871,PUNJAB,11,14,8.9,9.4,7.4,7.9,99,332,0.1,0.6,0.2,0.5,2,2,24,24
3872,PUNJAB,9.4,14,8.8,9.5,7.6,7.9,152,269,0.1,0.2,0.1,0.5,4,4,150,150
10020,PUNJAB,16,27,7.5,8,7.5,8.4,242,345,0.5,0.5,0.2,0.8,180,780,400,1700
10021,PUNJAB,16,24,7,7.9,7.5,8,209,442,2,2,0.2,0.8,200,1700,780,3900
1062,"UTTAR
 PRADESH",21,23,7.3,8.7,7.4,7.7,120,258,1.2,3,0.3,0.6,180,350,410,610
10149,"UTTAR
 PRADESH",21,23,7.4,8.9,7.1,7.8,197,258,1.8,2.6,0.3,5.2,110,350,370,610
2488,"UTTAR
 PRADESH",14,25,6.4,9.2,7,7.5,152,254,1.4,4.3,0.3,0.6,210,280,440,630
2489,"UTTAR
 PRADESH",15,25,7.1,9,7.2,7.6,138,244,1.6,4.1,0.3,0.4,120,230,350,450
1145,"UTTAR
 PRADESH",17,26,6.9,8.7,7,7.6,137,248,1.2,4.2,0.3,0.5,200,370,470,630
2490,"UTTAR
 PRADESH",17,28,6.8,8.6,7.2,7.6,136,242,1.6,3.6,0.3,0.4,130,250,410,510
1063,"UTTAR
 PRADESH",16,34,6.3,10.2,7,8.5,222,404,2.8,4.2,0.3,0.3,2000,3800,3400,7900
1066,"UTTAR
 PRADESH",16,34,6.2,10.4,7.5,8.6,204,439,3,5,0.3,0.3,3100,4100,5800,8400
1146,"UTTAR
 PRADESH",16,32,6.1,11.3,7.3,8.8,213,397,2.6,3.6,0.3,0.3,2000,4300,3800,6300
1067,"UTTAR
 PRADESH",16,33,5.9,11.2,7.4,8.5,215,416,2.9,3.9,0.3,0.3,2100,4700,4600,8400
10154,"UTTAR
 PRADESH",20,32,5.8,10.8,7.4,8.3,215,372,2.8,3.8,0.3,0.3,2400,4700,4100,7000
10155,"UTTAR
 PRADESH",20,32,5.7,9.6,7.4,8.3,218,392,3.1,3.8,0.3,0.3,2600,6300,4900,9200
1049,"UTTAR
 PRADESH",18,29,7.3,8.5,7.5,8.3,275,442,3.7,5.8,0.3,1.9,13000,33000,24000,46000
2485,"UTTAR
 PRADESH",19,23.4,7.7,8.6,6.3,7.6,276,384,2.3,2.7,0.3,0.4,1100,1400,2000,3900
2486,"UTTAR
 PRADESH",19,23.5,7.6,8.4,6.5,7.9,301,398,2.6,2.9,0.3,0.6,1300,2700,2500,4700
1070,"UTTAR
 PRADESH",3,30.5,7.5,8.8,7.8,8.6,340,535,2.8,3.3,0.3,0.3,1300,2200,2400,22000
1071,"UTTAR
 PRADESH",21,30.5,6.4,7.7,8.1,8.8,372,594,5.3,6.1,0.3,0.4,23000,49000,43000,70000
1073,"UTTAR
 PRADESH",22,31,6.4,7.8,8.1,8.8,364,586,4.2,5.6,0.3,0.4,17000,33000,34000,49000
1080,WEST BENGAL,19,32,5.7,9.9,7.5,8.2,201,380,1.2,7.3,0.3,1.1,34000,300000,110000,850000
2511,WEST BENGAL,19,33,5.4,9.7,7.3,8.2,175,348,1.3,5,0.3,1.5,70000,170000,110000,220000
2506,WEST BENGAL,20,33,5.2,8.9,7.5,8.2,198,381,1.2,5.3,0.3,1.3,80000,280000,110000,350000
1054,WEST BENGAL,21,32,4.1,8.7,7.4,8.4,208,363,0.8,5.2,0.3,1,80000,220000,110000,280000
1472,WEST BENGAL,17,32,4.2,9.1,7.5,8.3,211,419,1.7,6.1,0.3,1.1,110000,280000,140000,350000
1053,WEST BENGAL,20,34,4,8,7.3,8.1,262,431,1.6,5.3,0.4,0.6,23000,500000,30000,900000
10004,HARYANA,0,0,3.1,8.2,7.4,8.2,260,3720,1,55,0.01,0.11,33,4700,49,160000
1119,HARYANA,0,0,5.6,7.6,7.2,7.7,280,960,2,6,0.03,1.63,45,34000,78,1600000
1120,DELHI,17,33.6,3.7,11.8,7.1,8.1,180,1780,1,7,0,0,140,54000,200,160000
1497,"UTTAR
 PRADESH",0,0,0,3,7.5,8.1,836,3770,8,55,0.01,1.12,400,9200000,11000,9200000
1124,"UTTAR
 PRADESH",0,0,3.3,8.4,7.6,8.1,620,3580,3,18,0.04,1.69,2200,130000,7900,540000
1125,"UTTAR
 PRADESH",19,19,3.2,12,7.6,7.9,670,1660,2,18,0.11,3.54,450,110000,1400,700000
1126,"UTTAR
 PRADESH",21,25,1.7,6.8,7.4,8.1,773,1980,6,18,0.14,10.67,400,3500000,1400,16000000
1498,"UTTAR
 PRADESH",23,25,5.8,8.4,7.5,8.5,800,1790,9,25,0.29,23.5,130,13000,130,13000
1127,"UTTAR
 PRADESH",24,26,3.6,11.8,7.5,8.7,770,1668,5,37,0.06,12.01,8,24000,17,54000
1499,"UTTAR
 PRADESH",23,25,5.8,10.2,7.4,8.4,525,1334,3,15,0.02,3.24,20,70000,78,220000
1069,"UTTAR
 PRADESH",18.6,29.2,8,9,7.5,8.3,336,561,1.8,2.5,0.85,1.37,2600,9400,6300,17000
1065,"UTTAR
 PRADESH",16,33,5.4,10.5,7.4,8.4,209,798,3.8,8,0.3,0.4,2500,4800,4300,9200
2482,"UTTAR
 PRADESH",21.5,31.5,7.4,8.6,7.8,8.6,320,496,2.8,3.9,0.3,0.3,1100,1700,1700,3400
2483,"UTTAR
 PRADESH",22,31.5,1.3,3.2,8.3,8.8,614,815,22.8,44.8,0.3,0.8,110000,220000,220000,350000
1361,"UTTAR
 PRADESH",16,30,6.5,9.1,7.3,8,319,728,2.7,3.7,0.3,0.3,1700,2700,3300,5200
2484,"UTTAR
 PRADESH",21.5,31,7.3,8.4,7.9,8.7,354,512,3.2,4.5,0.3,0.3,5000,13000,11000,22000
1350,"UTTAR
 PRADESH",14,36.3,6.2,11.8,7.4,9,248,497.8,1.8,2.6,0.3,1.5,110,340,400,2100
1351,"UTTAR
 PRADESH",17,34.1,3.8,11,7.4,8.7,33.7,502,2.9,4.2,0.3,2.8,1300,3300,2400,4700
1352,"UTTAR
 PRADESH",17.5,36.8,1.2,3.2,7.3,7.7,382,718.3,7,14,0.3,3,54000,170000,92000,210000
1353,"UTTAR
 PRADESH",21.5,31,6.8,8,8.1,8.8,340,588,4.3,5.2,0.3,0.3,11000,23000,26000,46000
1072,"UTTAR
 PRADESH",21.5,31,7.3,8.5,7.9,8.8,318,582,3.5,4.4,0.3,0.3,8000,13000,14000,22000
10083,"UTTAR
 PRADESH",15,35.5,5.6,11.2,7.5,8.7,218,530.7,1.7,2.8,0.3,1.5,130,490,460,2400
10084,"UTTAR
 PRADESH",15,35.7,5.2,11.6,7.5,8.8,217,569.4,1.8,2.9,0.3,1.5,140,630,790,3500
10085,"UTTAR
 PRADESH",15,35.1,5.3,11.4,7.6,8.8,322,507.6,2.4,3.1,0.3,1.6,490,1700,940,4300
10086,"UTTAR
 PRADESH",15,35.4,5.1,11.2,7.2,8.7,325,527.6,2.5,3.2,0.3,1.7,790,2200,1400,5400
10087,"UTTAR
 PRADESH",17,34.1,3.7,11,7.4,8.7,37.4,502,2.9,4.2,0.3,2.1,1300,3300,2400,4700
10088,"UTTAR
 PRADESH",17.1,34.5,3,10.7,7.2,8.7,311,505,3,4.2,0.3,2.2,1700,4600,2800,6300
10089,"UTTAR
 PRADESH",17.2,34.7,0.5,5.2,7.4,8,375,630.2,5.6,12,0.3,2.6,7900,22000,13000,34000
10090,"UTTAR
 PRADESH",17.2,34.4,0.2,5,7.4,7.9,377,634.4,5.8,18,0.3,2.8,11000,26000,14000,43000
10091,"UTTAR
 PRADESH",17.5,36.5,1.3,3.4,7.3,7.8,380,712.1,6,13.4,0.3,2.8,33000,110000,54000,170000
10092,"UTTAR
 PRADESH",17.5,36.8,1.2,3.1,7.2,7.7,383,718.3,7,14,0.3,3,49000,170000,70000,210000
10093,"UTTAR
 PRADESH",17,38.2,2,6.4,7.4,8.5,238,827.3,3.6,8.5,0.3,1.5,4600,27000,7900,46000
10094,"UTTAR
 PRADESH",17,38.6,2.4,7.8,7.3,8.6,236,831,3.4,8.2,0.3,1.8,3300,26000,7000,33000
10095,"UTTAR
 PRADESH",20,27,6.4,7.1,7.8,7.9,241,412,4.4,4.7,0.8,0.8,4900,5400,8000,8400
10096,"UTTAR
 PRADESH",20,28,6.2,6.9,7.8,7.9,249,415,4.5,4.8,0.8,0.9,5100,5900,8200,8900
10097,"UTTAR
 PRADESH",22,31,7.5,8.8,7.8,8.6,308,530,3,3.5,0.3,0.3,1300,3300,2300,4900
2491,"UTTAR
 PRADESH",17,29,7.3,7.8,7.5,7.9,280,536,3.2,4.4,0.3,0.8,1700,17000,2400,26000
1363,"UTTAR
 PRADESH",16,29,7.6,8.2,7.5,8.2,280,475,2.2,4.7,0.3,0.4,250,13000,400,22000
1354,"UTTAR
 PRADESH",17,27,7.2,9.8,7.7,7.9,192,539,2.9,4.3,0.7,0.9,4300,6200,6800,8300
1355,"UTTAR
 PRADESH",16,30,7.2,8.2,7.5,8.2,378,540,2.5,4,0.3,0.3,250,13000,500,21000
2492,"UTTAR
 PRADESH",17,29,7.2,7.9,7.5,8.1,378,474,3.1,3.9,0.3,0.6,1100,11000,2100,13000
1359,"UTTAR
 PRADESH",19.1,28.6,7.1,7.8,7.4,8,358,438,1.4,1.6,0.3,0.3,780,1400,2100,2600
1360,"UTTAR
 PRADESH",19.3,29,7.5,8.2,7.1,8.1,362,452,1.4,1.7,0.3,0.3,780,1700,2300,3100
1260,ASSAM,19,24,3.6,9.5,6.9,7.8,78,239,0.6,2.8,0.2,1.8,300,910,300,3400
1030,ASSAM,18,25,5,8.1,6.8,7.9,78,367,0.9,3,0.4,1.8,300,2800,360,21000
1262,ASSAM,17,27,4.8,8,6.6,7.8,78,151,1.1,2.9,0.1,2,300,2100,610,110000
1526,ASSAM,20,28,7,6.8,6.5,7.7,74,185,0.6,6.4,0.3,2.4,360,2100,360,110000
1031,ASSAM,20,30,6.1,7.9,7,7.7,80,153,0.8,2.6,0.2,3.1,300,7500,360,29000
1299,ASSAM,22,32,4.7,9.1,6.7,7.8,101,166,0.6,2.8,0.1,1.4,360,2100,360,4400
2069,ASSAM,22,29,5.8,6,7.2,7.9,89,205,0.6,3.2,0.4,2.7,360,2000,730,21000
2064,ASSAM,22,31,5.7,8,6.6,7.8,57,220,0.6,2.8,0.3,1.9,300,1000,910,7500
2067,ASSAM,22,32,5.5,8.8,7,7.7,77,358,1,3.6,0.1,1.4,300,910,360,4400
2066,ASSAM,22,32,5.2,10.3,6.5,7.7,58,235,0.8,2.8,0.5,2.1,730,3500,360,110000
3781,ASSAM,19,26,5.4,10.2,7,7.8,96,164,1.2,3.6,1.2,2.7,360,730,360,730
1259,ASSAM,20,30,5.8,7.3,6.7,7.6,93,343,1,5.6,0.1,1.6,300,1500,700,29000
3764,NAGALAND,20,26,6.8,7.2,6.9,7.8,64,102,1,5.2,1.1,2.9,300,2700,730,21000
3792,NAGALAND,24,30,5.3,8.4,6.6,7.4,81,108,1.8,4.3,0.3,2,600,3500,1500,110000
1261,ASSAM,19,28,7,8.6,6.2,7.9,29,109,1,2.7,0.1,1.3,360,910,300,3500
2061,ASSAM,19,26,6,6.5,6.8,7.5,63,186,0.5,2.8,0.2,2.1,300,730,300,3500
1422,ASSAM,19,26,2,8.4,6.8,8.1,63,215,1,3.6,0.1,2.1,300,2800,360,29000
2062,ASSAM,18,27,6.2,9,6.3,7.7,65,205,1,4.6,0.1,2.5,300,2000,300,12000
2230,ASSAM,19,27,3.4,10,6.3,7.5,64,217,1,4.4,0.1,2.5,300,2700,360,110000
2065,ASSAM,24,36,3.7,8.2,7.3,8,64,212,0.6,5.2,0.2,1.7,300,3500,910,9300
1530,ASSAM,18,26,1.2,14.5,6.4,7.4,72,489,2.1,6.6,0.7,2.5,360,3500,1400,21000
2063,ASSAM,12,28,6,7.6,6.4,7.6,36,76,0.6,3.1,0.1,2.3,300,730,360,2000
2237,ASSAM,22,34,1.7,7,6.2,7.3,47,179,1.4,3.2,0.1,1.2,300,2300,1500,29000
2059,ASSAM,22,32,3,10,6.3,7.8,46,94,1.2,3,0.8,3.1,300,2800,360,240000
2060,ASSAM,23,34,5.2,8.6,7.4,8,110,353,0.6,1.9,0.3,2.3,300,1500,360,9300
2058,ASSAM,19,27,6.1,8.7,6.7,8.1,64,146,0.6,2.6,0.2,4.8,300,2000,360,2800
1298,ASSAM,15,31,4.8,9.1,6.4,7.6,98,200,0.9,2.1,0.5,2.4,300,2000,360,24000
1258,ASSAM,18,28,5.2,6.3,6.3,7.7,76,124,1,2.5,0.2,1.7,300,2100,300,4300
1527,ASSAM,20,31,4.2,9,6.6,7.4,69,209,2,3.2,0.2,1.5,300,4400,730,110000
1531,ASSAM,21,30,2.5,7,6.3,7.5,67,470,1.4,5.2,1,1.8,300,2000,360,6400
1528,ASSAM,21,30,0.3,7,6.6,7.4,231,640,6,42,1,7.2,2700,240000,4200,240000
1529,ASSAM,21,31,5.4,0.8,6.3,9.9,122,301,2.6,6.9,0.7,1.7,300,3500,730,21000
2068,ASSAM,21,27,5.5,10.5,6.3,7.5,42,181,1.1,2.9,0.4,3.2,300,1100,360,2800
3776,ASSAM,21,30,4.9,6.5,6.4,7.2,26,130,0.8,2.7,1.1,2.7,360,730,720,2100
2232,ASSAM,19,30,4.2,7.4,6.1,7.6,27,127,0.7,2.8,0.1,2.7,300,2700,2000,29000
2233,ASSAM,22,32,6.6,12,5.8,7.7,28,108,1,4.2,0.1,1.7,300,3500,720,7500
2234,ASSAM,19,30,6.5,8.2,6.6,7.7,33,145,0.5,3.8,0.1,2,360,730,300,2100
2236,ASSAM,21,35,3.1,7,5.3,7.3,52,90,1,5.5,0.4,1.3,300,1400,300,2100
2238,ASSAM,20,34,5.2,6.5,6.8,7.9,81,142,0.6,2,0.5,4.8,300,900,360,21000
2239,ASSAM,22,34,5,5.8,6.2,7.4,26,110,0.6,2.9,0.8,1.9,300,1100,700,2800
2240,ASSAM,22,27,5.5,5.9,6.5,7.4,42,120,1.1,2.8,0.2,1.4,300,2800,360,110000
2241,ASSAM,22,26,5.2,6.1,6.5,7.5,43,122,1.1,2.6,0.3,1.3,300,910,300,3900
2242,ASSAM,22,26,4.3,5.9,6.5,7.4,49,132,1,2.8,1,3.2,300,1100,360,2000
2523,WEST BENGAL,19,29,4.9,7.3,6.7,7.7,36,188,1.2,3.9,0.4,0.7,900,7000,9000,28000
3377,MEGHALAYA,14,21,6.9,8.6,6.7,7.3,32,69,1.2,1.7,0.2,0.8,9,35,40,120
3378,MEGHALAYA,14,22,6.8,8.6,6.5,7.6,33,68,1,1.8,0.1,0.4,8,29,24,79
3380,MEGHALAYA,20,29,6.7,8.2,6.9,7.9,63,102,1.4,2.3,0.3,0.5,10,50,28,140
3381,MEGHALAYA,17,30,6.6,7.7,7.2,8.3,76,220,1.5,2.1,0.3,0.9,12,41,33,110
3382,MEGHALAYA,19,28,6.9,7.3,7.4,8,60,110,1,1.6,0.4,0.6,8,36,30,130
1232,RAJASTHAN,20,33,4.4,5.8,7.2,8.5,400,550,1,2.2,1.4,2.7,4,39,7,64
4,GUJARAT,22,30,6.4,8.8,7.98,8.61,308,442,0.22,1.06,0.18,1.12,4,33,21,140
1229,GUJARAT,30,32,6.5,8.9,7.8,8.4,304,885,0.2,0.9,0.1,0.6,2,2,4,11
1230,GUJARAT,30,32,6.3,8.4,8.1,8.5,320,421,0.6,2.2,0.2,0.8,4,26,21,63
1231,GUJARAT,30,33,6.1,8.1,8,8.5,304,433,0.4,1.4,0.3,0.8,4,26,21,63
1863,GUJARAT,26,31,7.3,8.8,7.4,8.8,309,679,0.4,2,0.1,0.8,11,21,33,120
1864,GUJARAT,25,30,4.1,8.7,7.6,8.5,191,16660,0.5,1.7,0.2,0.8,11,14,33,49
5,GUJARAT,26,30,6.4,8.8,7.7,9.02,304,895,0.4,2.43,0.09,0.88,11,33,33,130
1233,"MADHYA
 PRADESH",19,32,6.5,7.9,7.5,8.7,346,605,1.1,2,0.8,1.4,2,2,22,90
3206,"MADHYA
 PRADESH",23,30,2.5,8.7,7.6,8.5,307,1704,0.3,2.6,0.2,0.8,11,14,33,49
3318,"MADHYA
 PRADESH",22,28,6.7,7.5,7.5,8.1,196,530,1.2,2.8,0.6,3.4,4,30,40,140
2102,"MADHYA
 PRADESH",24,30,7,6.8,7.4,8.2,275,740,1.8,2.4,0.7,3.1,4,12,26,220
2103,"MADHYA
 PRADESH",24,28,6.8,7.6,7.2,8,237,390,1.3,2,0.7,2.4,4,8,40,60
2104,"MADHYA
 PRADESH",22,30,6.4,7.6,7.2,8.2,12,1092,1.2,2.8,0.7,2.9,6,50,50,300
2105,"MADHYA
 PRADESH",20,24,5.8,7.6,7.2,8.7,278,428,1.2,2.4,0,1.3,4,9,40,80
3848,"MADHYA
 PRADESH",18,30,6.4,7.4,7.8,8.7,286,730,1.1,2,0.7,884,2,2,50,70
1221,GUJARAT,27,27,4.2,8.9,7.3,8.2,506,971,1.7,4,0,0.6,2,23,12,84
1407,GUJARAT,22,30,4.1,7.8,7.9,8.6,243,389,1,6,0,0.1,9,40,58,210
1408,GUJARAT,28,34,0.2,4.7,7.2,8.1,526,3121,19,112,0.1,0.3,110,2100,920,9200
1409,GUJARAT,25,29,3.5,7.5,7.6,8.4,50,450,1.8,23,0.1,2,9,130,63,430
1866,GUJARAT,25,30,2.2,8.7,7.6,8.3,229,382,0.7,9,0.1,0.2,9,140,58,540
1223,GUJARAT,26,30,1.2,5.2,7.5,9.5,316,3716,4,71,0.1,0.4,33,1700,350,9400
1482,GUJARAT,22,38,4.3,9.1,7.5,8.8,249,889,1,7,0,0.1,4,30,15,90
1222,GUJARAT,24,37,3,8,7.3,8.5,256,3250,0.7,4.1,0.1,0.6,14,33,49,130
1224,GUJARAT,27,27,4.4,4.9,7.3,8.2,430,974,1.4,4,0,0.7,4,17,17,94
1437,GUJARAT,29,30,0,5.9,7.3,8,1448,3122,58,206,0.1,0.3,1300,7000,8400,28000
1227,GUJARAT,30,32,5.3,8.7,7.9,8.4,294,461,0.2,2.1,0.1,0.7,11,14,33,49
1241,"MADHYA
 PRADESH",17,23.4,7.3,7.9,7.2,8.5,208,382,1.1,1.8,0.1,2.7,2,10,33,47
44,"MADHYA
 PRADESH",19,28,7.4,8.8,7.68,8.43,244,332,1.3,2.6,0,1.75,2,2,31,230
1240,"MADHYA
 PRADESH",18,21,7.2,7.9,7.2,8.7,200,370,0.8,1.8,0.2,1.4,2,14,27,47
1234,"MADHYA
 PRADESH",19,28,7.7,8.8,7.6,8.4,238,332,1.2,2.6,0,3,2,4,33,280
2123,"MADHYA
 PRADESH",20,29,7,8.9,7.7,8.4,230,347,1.1,3,0,6.1,2,2,33,240
2106,"MADHYA
 PRADESH",5,27,6.7,7.2,7.3,8.1,230,396,1.4,2,0.1,1.5,4,9,34,50
2099,"MADHYA
 PRADESH",18,21,7,8,7.2,8.6,193,667,1.1,1.8,0.1,4.4,2,10,23,110
3322,"MADHYA
 PRADESH",18,22.8,7.2,7.9,7.2,8.7,169,386,0.8,1.9,0.1,1.4,2,11,26,49
3323,"MADHYA
 PRADESH",17,21,7.2,8.3,7.3,8.4,159,838,0.4,1.6,0.2,4.7,2,25,12,540
3325,"MADHYA
 PRADESH",19,20.5,6.8,7.9,7.2,8.6,191,654,1.2,2,0.1,5.1,2,28,15,48
1430,"MADHYA
 PRADESH",22,30,6.8,8.3,7.8,8.4,275,505,1.2,1.6,0.4,1.2,2,2,6,50
1431,"MADHYA
 PRADESH",22,31,6.7,8.3,7.5,8.7,265,609,0.7,2.1,0,1.9,2,2,34,50
2113,"MADHYA
 PRADESH",20,30,6.5,8,6.9,8.5,255,474,1,1.2,0.4,0.8,2,2,30,40
2118,"MADHYA
 PRADESH",18,34,7.4,7.8,7.3,7.9,181,342,1.1,1.7,0.2,0.8,2,8,22,70
3321,"MADHYA
 PRADESH",19.2,36,7.7,8.3,7.6,8,203,512,0.7,1.8,0.4,1.2,2,12,21,110
1235,"MADHYA
 PRADESH",21,28,7.1,8.9,7.6,8.4,246,340,1.3,2.6,0,3.9,2,10,34,430
1239,"MADHYA
 PRADESH",22,31,6.4,8,7.4,8.4,268,443,1.1,1.7,0.4,1.2,2,2,34,50
1242,"MADHYA
 PRADESH",17.8,35.2,6.8,7.8,7.3,7.8,176,329,0.6,1.7,0.2,0.8,2,4,2,60
3847,"MADHYA
 PRADESH",22,32.5,7.1,7.7,7.3,8.9,302,551,1.2,1.9,0.5,1.7,2,2,40,40
1243,GUJARAT,27,32,6.6,7.9,7.4,8,296,7580,0.9,1.1,0.1,0.8,70,170,330,1700
1244,GUJARAT,27,34,6.8,7.9,7.4,8.3,251,433,0.9,1,0.1,0.3,8,23,23,79
1245,GUJARAT,23,30,6.2,8.4,7.6,8.5,283,554,0.3,1,0.1,0.9,4,14,21,49
1981,GUJARAT,26,33,6.2,7.9,7.6,8.1,267,460,0.9,1,0.1,0.9,13,23,46,170
